               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030399,            0.013262,           0.0091736,             0.91019,             0.83995,             0.88628,             0.59786,            0.030157,           0.0061142,            0.013688,            0.070083,           0.0033241,           0.0033241
                   1,            0.031765,            0.013113,           0.0084295,             0.86602,             0.83408,             0.88018,             0.57083,            0.032275,           0.0062227,            0.013883,            0.039951,           0.0065256,           0.0065256
                   2,            0.034837,            0.013591,            0.010358,             0.87777,             0.80466,             0.85849,             0.52237,            0.035623,           0.0064681,            0.014773,           0.0096872,           0.0095952,           0.0095952
                   3,            0.037649,            0.014604,            0.014327,             0.79298,             0.78714,              0.8362,             0.49112,            0.035865,           0.0067062,            0.014502,            0.009406,            0.009406,            0.009406
                   4,            0.038558,            0.014851,            0.015082,             0.84193,             0.76635,             0.82442,             0.48522,            0.035355,           0.0069086,            0.015246,            0.009406,            0.009406,            0.009406
                   5,            0.038259,            0.014913,            0.015446,             0.82747,              0.7839,             0.84262,             0.46851,             0.03587,           0.0067743,            0.015381,            0.009208,            0.009208,            0.009208
                   6,            0.037884,            0.014894,            0.016355,             0.85305,             0.78742,             0.84614,             0.48795,            0.036091,            0.006617,            0.014006,             0.00901,             0.00901,             0.00901
                   7,            0.037862,            0.014817,            0.015127,             0.81624,             0.80677,             0.85201,             0.52193,             0.03486,           0.0064958,            0.013355,            0.008812,            0.008812,            0.008812
                   8,            0.037099,            0.014527,            0.013293,             0.88228,             0.80258,             0.87082,              0.5149,            0.035008,           0.0065816,            0.013986,            0.008614,            0.008614,            0.008614
                   9,            0.036794,            0.014366,            0.012963,             0.84662,             0.80709,             0.85231,             0.51833,            0.035064,           0.0064537,            0.014306,            0.008416,            0.008416,            0.008416
                  10,            0.036576,            0.014496,            0.012617,             0.85817,             0.82648,             0.86769,             0.54553,            0.033327,           0.0063935,            0.014057,            0.008218,            0.008218,            0.008218
                  11,            0.036244,            0.014281,            0.013133,             0.85633,             0.80823,             0.86148,             0.53422,            0.034739,            0.006506,            0.016495,             0.00802,             0.00802,             0.00802
                  12,            0.036522,            0.014373,            0.012782,             0.90097,             0.80193,             0.86195,             0.54096,            0.033241,           0.0063313,            0.013888,            0.007822,            0.007822,            0.007822
                  13,            0.035677,            0.014208,            0.010827,             0.87915,             0.81824,             0.87104,             0.54816,             0.03329,           0.0062987,            0.017095,            0.007624,            0.007624,            0.007624
                  14,            0.035549,            0.013966,            0.011264,             0.88668,             0.81397,             0.86453,             0.55104,            0.033673,           0.0064552,            0.015005,            0.007426,            0.007426,            0.007426
                  15,            0.035415,            0.013927,             0.01113,             0.89513,             0.81858,             0.88027,              0.5606,             0.03252,           0.0062525,            0.014451,            0.007228,            0.007228,            0.007228
                  16,            0.035334,            0.013668,            0.010649,             0.87889,             0.83295,             0.87632,             0.56111,            0.033069,           0.0063134,            0.014685,             0.00703,             0.00703,             0.00703
                  17,            0.034628,            0.013592,            0.010312,             0.90317,             0.81693,              0.8789,             0.56658,             0.03304,           0.0063363,            0.015227,            0.006832,            0.006832,            0.006832
                  18,             0.03515,            0.013563,            0.010046,             0.85371,             0.83734,             0.87286,             0.55861,            0.034903,           0.0063207,            0.014031,            0.006634,            0.006634,            0.006634
                  19,            0.034391,            0.013518,           0.0098298,             0.90263,             0.82937,             0.87977,             0.57106,            0.032398,           0.0061786,            0.013829,            0.006436,            0.006436,            0.006436
                  20,            0.033374,            0.013231,           0.0091696,             0.86207,             0.83783,             0.87613,             0.57548,            0.033225,           0.0062583,            0.016728,            0.006238,            0.006238,            0.006238
                  21,            0.033645,              0.0133,           0.0091355,             0.88554,             0.83131,             0.88391,             0.56514,            0.033495,           0.0061843,            0.014274,             0.00604,             0.00604,             0.00604
                  22,            0.032669,            0.013153,           0.0079956,             0.89136,             0.82667,             0.87869,               0.588,            0.032812,           0.0061183,            0.012997,            0.005842,            0.005842,            0.005842
                  23,            0.032738,            0.013143,           0.0084992,             0.91226,             0.82755,             0.88938,              0.5922,            0.031694,           0.0062045,            0.014027,            0.005644,            0.005644,            0.005644
                  24,            0.032702,            0.013026,           0.0086988,             0.87158,             0.85664,             0.88854,             0.59491,            0.030847,           0.0061958,            0.014901,            0.005446,            0.005446,            0.005446
                  25,            0.031995,            0.013003,           0.0086432,             0.88474,              0.8324,             0.88262,             0.59154,             0.03118,           0.0062395,            0.015478,            0.005248,            0.005248,            0.005248
                  26,            0.031683,             0.01286,            0.007709,             0.88714,             0.84429,             0.88403,             0.59727,            0.030902,           0.0060806,            0.014578,             0.00505,             0.00505,             0.00505
                  27,            0.031589,            0.012601,           0.0076155,              0.9187,             0.83433,             0.88274,             0.59039,            0.031463,           0.0061014,            0.014222,            0.004852,            0.004852,            0.004852
                  28,            0.031379,            0.012681,           0.0076309,              0.8825,             0.83643,             0.88096,             0.59169,            0.031007,            0.006162,            0.013412,            0.004654,            0.004654,            0.004654
                  29,            0.031022,            0.012764,           0.0072823,             0.89646,             0.83664,             0.87966,             0.60292,            0.031101,           0.0061324,            0.013476,            0.004456,            0.004456,            0.004456
                  30,            0.030392,            0.012517,           0.0069933,             0.89134,             0.85638,             0.88667,              0.6025,            0.030731,           0.0061728,            0.013906,            0.004258,            0.004258,            0.004258
                  31,            0.029885,            0.012367,           0.0066692,             0.90335,              0.8606,             0.89002,             0.61352,            0.030491,           0.0061008,            0.013978,             0.00406,             0.00406,             0.00406
                  32,            0.029819,            0.012258,            0.006235,             0.89173,             0.85886,             0.89143,             0.60294,            0.030855,            0.006064,            0.013841,            0.003862,            0.003862,            0.003862
                  33,            0.029498,            0.012241,           0.0059383,             0.89676,             0.83917,             0.89132,             0.61022,            0.030259,           0.0061066,            0.014271,            0.003664,            0.003664,            0.003664
                  34,            0.029562,            0.011997,           0.0060412,             0.88127,             0.86524,             0.88634,             0.60648,            0.030174,            0.006184,            0.014899,            0.003466,            0.003466,            0.003466
                  35,            0.029004,            0.012171,           0.0057373,             0.90646,             0.86026,             0.88796,             0.61332,            0.029621,           0.0060465,            0.013542,            0.003268,            0.003268,            0.003268
                  36,            0.028445,            0.012159,           0.0057938,             0.90835,              0.8405,             0.89154,             0.61615,             0.02998,            0.006143,            0.014096,             0.00307,             0.00307,             0.00307
                  37,            0.028241,            0.011929,           0.0058162,             0.89485,             0.85539,             0.89125,             0.62292,            0.029805,           0.0060559,            0.014062,            0.002872,            0.002872,            0.002872
                  38,            0.027919,            0.012061,           0.0053631,             0.89307,             0.85645,             0.89028,             0.62334,            0.029315,           0.0060584,            0.014488,            0.002674,            0.002674,            0.002674
                  39,            0.027736,             0.01166,           0.0051017,             0.91255,             0.85215,             0.89079,             0.62676,            0.029925,           0.0060798,            0.014107,            0.002476,            0.002476,            0.002476
                  40,            0.027377,            0.011547,           0.0049405,              0.9016,             0.86964,             0.89648,             0.63031,            0.029752,           0.0060209,            0.014989,            0.002278,            0.002278,            0.002278
                  41,            0.026837,            0.011754,            0.004844,             0.90493,             0.84734,             0.89367,             0.62438,            0.029799,           0.0060058,            0.014948,             0.00208,             0.00208,             0.00208
                  42,            0.026614,            0.011665,           0.0050706,             0.89968,               0.857,             0.89376,               0.629,            0.029679,           0.0060621,            0.014718,            0.001882,            0.001882,            0.001882
                  43,            0.026186,            0.011522,            0.004551,             0.89533,             0.86183,             0.89689,             0.62826,            0.029664,           0.0061315,            0.013526,            0.001684,            0.001684,            0.001684
                  44,            0.025633,             0.01151,           0.0044553,             0.88303,             0.87665,             0.89919,              0.6292,            0.029044,           0.0060802,            0.013521,            0.001486,            0.001486,            0.001486
                  45,            0.025424,            0.011259,           0.0044444,             0.89464,             0.85956,              0.8969,             0.63537,            0.029092,           0.0060809,            0.013278,            0.001288,            0.001288,            0.001288
                  46,            0.024963,            0.011294,           0.0042928,             0.91114,             0.86485,             0.89901,             0.63582,            0.028786,           0.0061438,            0.013449,             0.00109,             0.00109,             0.00109
                  47,            0.024545,            0.011174,           0.0039681,             0.92602,             0.85602,             0.90039,             0.64265,            0.029084,           0.0060534,            0.013246,            0.000892,            0.000892,            0.000892
                  48,             0.02433,            0.011334,           0.0040399,             0.91318,             0.85793,             0.89669,             0.63746,            0.029137,           0.0060693,            0.013638,            0.000694,            0.000694,            0.000694
                  49,            0.024132,            0.011315,           0.0040023,             0.91007,             0.86264,             0.89879,             0.64522,            0.029018,           0.0060717,             0.01363,            0.000496,            0.000496,            0.000496
